date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:59	82888/82888	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:09:05%20GMT	https://realmscans.com/donations/	E:/My%20Web%20Sites/scan/realmscans.com/donations/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:25:59	84277/84277	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:19:05%20GMT	https://realmscans.com/a-z/	E:/My%20Web%20Sites/scan/realmscans.com/a-z/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:00	29494/29494	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Mar%202023%2011:26:01%20GMT	https://realmscans.com/manga/?order=title&type=Manhua	E:/My%20Web%20Sites/scan/realmscans.com/manga/index9cfa.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:00	42382/42382	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-a58e%22	https://realmscans.com/wp-content/uploads/2021/08/the-great-sage-thumb-3.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2021/08/the-great-sage-thumb-3.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:00	36002/36002	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:01%20GMT	https://realmscans.com/genres/action/	E:/My%20Web%20Sites/scan/realmscans.com/genres/action/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:00	35860/35860	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:01%20GMT	https://realmscans.com/genres/adventure/	E:/My%20Web%20Sites/scan/realmscans.com/genres/adventure/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:01	35859/35859	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:02%20GMT	https://realmscans.com/genres/based-on-a-novel/	E:/My%20Web%20Sites/scan/realmscans.com/genres/based-on-a-novel/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:01	44938/44938	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-af8a%22	https://realmscans.com/wp-content/uploads/2022/10/i-got-lucky-and-pulled-a-10th-rank-summon.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2022/10/i-got-lucky-and-pulled-a-10th-rank-summon.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:01	35971/35971	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2011:26:02%20GMT	https://realmscans.com/genres/comedy/	E:/My%20Web%20Sites/scan/realmscans.com/genres/comedy/index.html	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
08:26:01	18430/18430	---M--	200	added ('OK')	image/webp	etag:%2263ec097b-47fe%22	https://realmscans.com/wp-content/uploads/2022/09/dungath-220x300.webp	E:/My%20Web%20Sites/scan/realmscans.com/wp-content/uploads/2022/09/dungath-220x300.webp	(from https://realmscans.com/m100323/series/i-am-a-cultivation-bigshot/)
